ID,BOARD_MINUTE,FROM_STATION,TO_STATION,ARRIVAL_MINUTE
1729,384,0,9,375
1730,384,0,12,380
2802,386,0,30,385
3,391,1,5,390
178,396,5,22,390
445,392,2,5,390
578,402,10,26,391
594,401,9,16,391
652,394,4,34,392
790,404,24,35,392
861,401,9,17,392
1225,393,3,19,393
1287,391,1,28,393
1305,401,1,7,394
1405,400,8,21,394
1456,397,6,23,394
1532,396,5,22,395
1543,399,0,6,395
1642,396,5,22,396
1699,394,4,21,396
1707,403,3,19,396
1852,403,11,21,397
2170,401,1,18,397
2270,393,3,9,398
2343,403,3,11,398
2413,392,2,14,398
2519,391,1,12,399
2529,402,10,13,399
2746,393,3,5,400
2938,400,8,24,400
2960,401,1,5,400
3329,391,1,2,401
3453,393,3,22,401
3489,396,5,22,402
3648,400,8,23,402
3778,401,9,24,402
4058,404,12,26,403
4170,392,2,13,403
4233,392,2,35,404
4281,396,5,21,404
61,416,12,22,405
128,408,6,22,405
246,418,19,20,405
336,415,11,21,406
367,417,18,24,406
948,419,14,35,406
990,410,16,31,407
1016,409,7,19,407
1381,419,6,18,408
1389,405,5,18,408
1401,410,16,18,408
1404,408,6,22,409
1578,409,7,22,409
1650,416,12,22,410
1705,410,8,11,410
1731,405,5,22,410
1757,416,12,19,411
1765,408,6,19,411
1974,411,16,24,412
2040,416,0,34,412
2150,417,5,20,412
2236,409,7,14,413
2319,413,3,19,413
2325,413,3,30,414
2475,419,6,23,414
2590,417,18,22,414
2646,405,5,35,415
2698,416,18,35,415
2719,417,18,26,416
2767,413,3,23,416
2785,412,15,16,416
3330,419,6,21,417
3584,416,0,28,417
3585,417,0,28,418
3586,417,0,28,418
3817,415,11,22,418
4037,405,12,19,419
4261,410,18,34,419
84,423,18,35,420
189,430,13,18,420
190,430,13,18,420
323,428,6,20,420
383,428,12,18,420
417,425,15,31,421
603,425,23,26,421
605,430,13,21,421
660,420,7,20,421
680,423,18,35,421
681,431,2,5,422
686,432,9,20,422
762,425,23,33,422
815,423,9,29,422
881,431,2,9,422
919,432,3,14,423
933,430,19,26,423
1014,421,3,27,423
1217,432,3,5,423
1222,431,8,22,423
1463,430,13,19,424
1535,425,10,23,424
1576,428,12,21,424
1594,420,7,22,424
1651,427,0,23,424
1666,428,6,20,425
1701,429,0,4,425
1717,422,8,21,425
1755,428,16,26,425
1817,432,3,28,425
1899,430,14,20,425
2083,432,3,11,426
2084,432,3,11,426
2178,434,16,30,426
2215,431,14,31,426
2218,428,16,24,426
2278,433,21,35,427
2280,425,23,25,427
2369,434,21,26,427
2472,428,34,35,427
2533,421,3,5,427
2551,427,0,4,428
2666,428,6,22,428
2699,434,11,19,428
2962,423,22,25,428
3088,423,16,35,428
3171,421,21,26,429
3179,432,3,6,429
3185,420,21,27,429
3306,423,18,35,429
3309,431,2,12,429
3341,423,22,28,430
3354,423,14,16,430
3375,425,17,26,430
3407,432,3,6,430
3471,432,3,6,430
3481,428,16,25,430
3588,427,0,3,431
3589,427,0,3,431
3735,421,20,28,431
3797,434,21,28,431
3806,430,13,22,431
3870,423,9,17,432
3886,433,10,22,432
3891,430,19,27,432
3921,430,25,32,432
3935,427,0,9,432
4014,430,13,21,433
4098,433,16,22,433
4189,423,18,28,433
4216,422,8,21,433
4226,432,3,9,433
4227,432,3,9,434
4270,425,20,35,434
4271,421,20,25,434
4350,434,20,27,434
4351,430,19,23,434
47,439,19,26,435
63,446,4,19,435
72,439,14,35,435
101,438,29,33,435
102,443,16,20,435
110,448,27,32,435
119,437,0,4,435
173,443,3,6,435
177,443,25,30,435
210,438,29,35,436
226,443,18,32,436
228,443,25,28,436
229,443,25,28,436
302,448,0,5,436
303,447,26,34,436
304,443,3,5,436
307,443,10,27,436
318,441,28,35,436
345,442,9,22,437
351,449,14,15,437
379,439,19,35,437
380,449,14,25,437
466,439,19,35,437
533,448,13,21,437
534,437,6,25,437
540,441,19,28,437
583,441,8,19,438
591,444,16,31,438
644,449,27,32,438
675,447,22,33,438
702,449,18,35,438
712,447,0,5,438
722,443,25,35,438
732,438,29,34,438
833,443,25,32,438
834,443,3,11,439
836,449,18,28,439
841,449,23,28,439
842,449,23,28,439
845,436,17,29,439
920,443,10,15,439
986,439,19,35,439
1015,443,18,21,439
1088,449,16,31,439
1097,437,6,25,440
1183,443,3,19,440
1199,441,8,21,440
1247,436,12,19,440
1252,443,10,18,440
1259,443,18,34,440
1271,436,15,27,440
1275,443,3,6,440
1375,447,12,17,441
1390,448,5,9,441
1407,443,3,5,441
1466,437,0,27,441
1467,436,0,6,441
1491,442,3,9,441
1498,447,0,5,441
1518,443,3,6,441
1615,442,9,20,441
1721,435,22,26,442
1733,437,0,27,442
1742,438,28,32,442
1746,447,0,5,442
1751,437,0,27,442
1761,447,14,21,442
1828,436,12,19,442
1836,441,2,5,442
1858,449,14,21,442
1896,446,11,19,443
1897,439,23,32,443
1933,443,10,14,443
1966,447,0,1,443
2031,439,23,32,443
2070,438,23,35,443
2074,443,25,35,443
2088,439,23,35,443
2098,441,8,22,444
2116,447,26,32,444
2176,437,7,11,444
2185,449,14,21,444
2211,445,21,35,444
2314,439,19,35,444
2342,441,2,8,444
2421,438,13,18,444
2429,448,0,5,444
2440,449,14,34,445
2444,447,22,25,445
2448,439,23,33,445
2460,443,18,34,445
2481,447,26,32,445
2543,438,13,16,445
2549,439,7,21,445
2570,439,23,26,445
2607,439,23,26,445
2633,447,12,19,446
2641,439,7,23,446
2652,443,3,4,446
2815,435,4,7,446
2831,439,23,31,446
2857,441,19,35,446
2866,439,23,24,446
2947,449,13,22,446
2971,447,0,5,447
3012,443,25,34,447
3031,447,0,4,447
3100,443,25,27,447
3106,443,3,6,447
3150,437,31,34,447
3170,449,27,31,447
3225,441,2,6,447
3234,436,15,32,447
3243,449,18,27,448
3434,449,23,35,448
3456,443,25,30,448
3700,441,8,22,448
3789,437,0,9,448
3894,447,0,5,448
4036,441,19,21,448
4059,443,10,25,448
4083,443,3,6,448
4084,446,4,28,449
4134,443,3,4,449
4161,448,13,21,449
4185,439,23,26,449
4187,442,31,33,449
4194,435,33,35,449
4220,443,3,5,449
4250,438,28,32,449
48,464,16,35,450
108,451,16,21,450
185,457,12,24,450
217,462,23,28,450
251,451,19,21,450
275,452,8,32,450
341,460,13,20,450
382,463,22,35,450
412,451,19,24,451
440,451,19,28,451
487,464,16,24,451
499,458,12,25,451
500,461,21,27,451
502,460,13,27,451
518,461,29,34,451
529,454,10,22,451
531,450,7,24,452
532,450,7,24,452
589,462,23,25,452
699,461,29,32,452
756,461,20,27,452
776,463,14,15,452
853,451,19,35,452
869,459,28,35,452
942,453,17,18,453
970,463,3,9,453
983,451,19,31,453
1020,451,2,13,453
1039,450,29,33,453
1062,453,25,30,453
1096,459,28,34,453
1106,452,3,6,454
1223,463,3,22,454
1240,463,23,33,454
1253,459,6,8,454
1257,453,25,30,454
1268,459,6,25,454
1303,451,24,32,454
1327,456,11,13,454
1331,463,3,9,455
1339,451,19,26,455
1340,451,19,26,455
1386,463,3,4,455
1497,452,3,6,455
1554,452,3,5,455
1683,463,3,14,455
1713,451,24,25,455
1726,459,0,5,456
1808,458,19,22,456
1848,451,30,35,456
1868,460,13,20,456
1929,458,12,19,456
1944,451,2,13,456
1953,463,8,18,456
1980,457,5,9,456
1981,453,17,25,457
2073,453,25,35,457
2075,462,7,19,457
2086,457,22,23,457
2091,462,23,31,457
2115,451,24,35,457
2168,456,16,31,457
2223,459,6,8,458
2254,462,13,16,458
2273,461,14,21,458
2307,457,5,14,458
2374,453,10,24,458
2385,455,4,22,458
2410,455,11,16,458
2486,463,3,5,458
2495,462,7,23,459
2522,452,18,32,459
2619,461,21,27,459
2678,456,26,32,459
2727,451,19,27,459
2852,458,19,26,459
2855,462,2,5,459
2890,459,6,22,459
2891,463,3,12,460
2918,458,19,22,460
2920,457,5,16,460
2924,458,19,24,460
2933,455,4,21,460
2948,464,3,5,460
3007,458,12,24,460
3025,450,7,30,460
3057,451,19,30,461
3173,464,16,21,461
3184,463,3,5,461
3216,456,18,27,461
3235,453,25,35,461
3236,463,3,5,461
3244,463,3,9,461
3278,464,16,30,462
3361,451,24,32,462
3399,450,29,33,462
3422,452,3,5,462
3845,461,1,9,462
3948,451,28,30,462
3975,455,21,29,462
3988,461,28,30,462
3996,457,12,25,463
3999,453,11,21,463
4042,457,22,25,463
4057,462,23,35,463
4077,462,2,6,463
4090,464,18,23,463
4096,458,19,22,463
4100,451,19,27,463
4188,461,29,35,464
4215,457,22,26,464
4229,450,1,5,464
4242,461,1,5,464
4286,453,25,31,464
4308,450,7,20,464
4352,452,3,16,464
39,471,2,6,465
56,474,19,26,465
62,478,15,24,465
68,477,21,24,465
88,477,4,21,465
165,477,21,28,465
166,478,5,26,465
184,469,25,30,465
186,476,16,22,466
218,470,12,25,466
224,467,5,15,466
334,473,8,21,466
335,473,8,21,466
355,470,6,10,466
358,465,10,25,466
387,466,23,26,466
404,465,10,22,467
431,471,14,25,467
444,473,3,11,467
452,478,17,27,467
501,469,16,27,467
554,469,18,26,467
639,465,9,21,467
695,474,19,22,467
788,466,13,18,468
794,465,4,19,468
876,470,18,35,468
883,469,25,27,468
997,475,9,19,468
1008,473,3,18,468
1024,478,29,35,468
1152,477,26,28,468
1193,466,26,35,469
1241,466,12,14,469
1261,470,6,9,469
